search_term	db_term	search_field
SRR8795452	SRR8795452	srr
SRR8795453	SRR8795453	srr
SRR8795454	SRR8795454	srr
SRR8795455	SRR8795455	srr
SRR8795456	SRR8795456	srr
SRR8795457	SRR8795457	srr
SRR8795458	SRR8795458	srr
SRR8795459	SRR8795459	srr
SRR8795460	SRR8795460	srr
SRR8795461	SRR8795461	srr
SRR8795462	SRR8795462	srr
SRR8795463	SRR8795463	srr
SRR8795464	SRR8795464	srr
SRR8795465	SRR8795465	srr
SRR8795466	SRR8795466	srr
SRR8795467	SRR8795467	srr
SRR8795468	SRR8795468	srr
SRR8795469	SRR8795469	srr
SRR8795470	SRR8795470	srr
SRR8795471	SRR8795471	srr
SRR8795472	SRR8795472	srr
SRR8795473	SRR8795473	srr
SRR8795474	SRR8795474	srr
SRR8795475	SRR8795475	srr
SRR8795476	SRR8795476	srr
SRR8795477	SRR8795477	srr
SRR8795478	SRR8795478	srr
SRR8795479	SRR8795479	srr
SRR8795480	SRR8795480	srr
SRR8795481	SRR8795481	srr
SRR8795482	SRR8795482	srr
SRR8795483	SRR8795483	srr
SRR8795484	SRR8795484	srr
SRR8795485	SRR8795485	srr
SRR8795486	SRR8795486	srr
SRR8795487	SRR8795487	srr
SRR8795488	SRR8795488	srr
SRR8795489	SRR8795489	srr
SRR8795490	SRR8795490	srr
SRR8795491	SRR8795491	srr
SRR8795492	SRR8795492	srr
SRR8795493	SRR8795493	srr
SRR8795494	SRR8795494	srr
SRR8795495	SRR8795495	srr
SRR8795496	SRR8795496	srr
SRR8795497	SRR8795497	srr
SRR8795498	SRR8795498	srr
SRR8795499	SRR8795499	srr
SRR8795500	SRR8795500	srr
SRR8795501	SRR8795501	srr
SRR8795502	SRR8795502	srr
SRR8812163	SRR8812163	sample_name
SRR8812163	SRR8812163	srr
SRR8812164	SRR8812164	sample_name
SRR8812164	SRR8812164	srr
SRR8812165	SRR8812165	sample_name
SRR8812165	SRR8812165	srr
SRR8812166	SRR8812166	sample_name
SRR8812166	SRR8812166	srr
SRR8812167	SRR8812167	sample_name
SRR8812167	SRR8812167	srr
SRR8812168	SRR8812168	sample_name
SRR8812168	SRR8812168	srr
SRR8867622	SRR8867622	sample_name
SRR8867622	SRR8867622	srr
SRR8867623	SRR8867623	sample_name
SRR8867623	SRR8867623	srr
SRR8867624	SRR8867624	sample_name
SRR8867624	SRR8867624	srr
SRR8867625	SRR8867625	sample_name
SRR8867625	SRR8867625	srr
SRR8867626	SRR8867626	sample_name
SRR8867626	SRR8867626	srr
SRR8867627	SRR8867627	sample_name
SRR8867627	SRR8867627	srr
SRR8867628	SRR8867628	sample_name
SRR8867628	SRR8867628	srr
SRR8867629	SRR8867629	sample_name
SRR8867629	SRR8867629	srr
SRR8867630	SRR8867630	sample_name
SRR8867630	SRR8867630	srr
SRR8867631	SRR8867631	sample_name
SRR8867631	SRR8867631	srr
SRR8867632	SRR8867632	sample_name
SRR8867632	SRR8867632	srr
SRR8867633	SRR8867633	sample_name
SRR8867633	SRR8867633	srr
SRR8867634	SRR8867634	sample_name
SRR8867634	SRR8867634	srr
SRR8867635	SRR8867635	sample_name
SRR8867635	SRR8867635	srr
SRR8867636	SRR8867636	sample_name
SRR8867636	SRR8867636	srr
SRR8867637	SRR8867637	sample_name
SRR8867637	SRR8867637	srr
SRR8887162	SRR8887162	sample_name
SRR8887162	SRR8887162	srr
SRR8887163	SRR8887163	sample_name
SRR8887163	SRR8887163	srr
SRR8887164	SRR8887164	sample_name
SRR8887164	SRR8887164	srr
SRR8887165	SRR8887165	sample_name
SRR8887165	SRR8887165	srr
SRR8887174	SRR8887174	sample_name
SRR8887174	SRR8887174	srr
SRR8887175	SRR8887175	sample_name
SRR8887175	SRR8887175	srr
SRR892016	SRR892016	sample_name
SRR892016	SRR892016	srr
SRR892017	SRR892017	sample_name
SRR892017	SRR892017	srr
SRR892018	SRR892018	sample_name
SRR892018	SRR892018	srr
SRR892019	SRR892019	sample_name
SRR892019	SRR892019	srr
SRR892025	SRR892025	sample_name
SRR892025	SRR892025	srr
SRR892026	SRR892026	sample_name
SRR892026	SRR892026	srr
SRR892027	SRR892027	sample_name
SRR892027	SRR892027	srr
SRR892028	SRR892028	sample_name
SRR892028	SRR892028	srr
SRR892029	SRR892029	sample_name
SRR892029	SRR892029	srr
SRR892030	SRR892030	sample_name
SRR892030	SRR892030	srr
SRR8950256	SRR8950256	sample_name
SRR8950256	SRR8950256	srr
SRR8950257	SRR8950257	sample_name
SRR8950257	SRR8950257	srr
SRR8950259	SRR8950259	sample_name
SRR8950259	SRR8950259	srr
SRR8950260	SRR8950260	sample_name
SRR8950260	SRR8950260	srr
SRR8950261	SRR8950261	sample_name
SRR8950261	SRR8950261	srr
SRR8950265	SRR8950265	sample_name
SRR8950265	SRR8950265	srr
SRR8950266	SRR8950266	sample_name
SRR8950266	SRR8950266	srr
SRR8950267	SRR8950267	sample_name
SRR8950267	SRR8950267	srr
SRR8950268	SRR8950268	sample_name
SRR8950268	SRR8950268	srr
SRR8950269	SRR8950269	sample_name
SRR8950269	SRR8950269	srr
SRR8950270	SRR8950270	sample_name
SRR8950270	SRR8950270	srr
SRR8950272	SRR8950272	sample_name
SRR8950272	SRR8950272	srr
SRR8950273	SRR8950273	sample_name
SRR8950273	SRR8950273	srr
SRR8950277	SRR8950277	sample_name
SRR8950277	SRR8950277	srr
SRR8950278	SRR8950278	sample_name
SRR8950278	SRR8950278	srr
SRR8950279	SRR8950279	sample_name
SRR8950279	SRR8950279	srr
SRR8957130	SRR8957130	sample_name
SRR8957130	SRR8957130	srr
SRR8957131	SRR8957131	sample_name
SRR8957131	SRR8957131	srr
SRR8957132	SRR8957132	sample_name
SRR8957132	SRR8957132	srr
SRR8957133	SRR8957133	sample_name
SRR8957133	SRR8957133	srr
SRR8957134	SRR8957134	sample_name
SRR8957134	SRR8957134	srr
SRR8957135	SRR8957135	sample_name
SRR8957135	SRR8957135	srr
SRR8957136	SRR8957136	sample_name
SRR8957136	SRR8957136	srr
SRR8957137	SRR8957137	sample_name
SRR8957137	SRR8957137	srr
SRR8957138	SRR8957138	sample_name
SRR8957138	SRR8957138	srr
SRR8957139	SRR8957139	sample_name
SRR8957139	SRR8957139	srr
SRR8957140	SRR8957140	sample_name
SRR8957140	SRR8957140	srr
SRR8957141	SRR8957141	sample_name
SRR8957141	SRR8957141	srr
SRR8957142	SRR8957142	sample_name
SRR8957142	SRR8957142	srr
SRR8957143	SRR8957143	sample_name
SRR8957143	SRR8957143	srr
SRR8992356	SRR8992356	sample_name
SRR8992356	SRR8992356	srr
SRR8992357	SRR8992357	sample_name
SRR8992357	SRR8992357	srr
SRR8992358	SRR8992358	sample_name
SRR8992358	SRR8992358	srr
SRR8992359	SRR8992359	sample_name
SRR8992359	SRR8992359	srr
SRR8992360	SRR8992360	sample_name
SRR8992360	SRR8992360	srr
SRR8992361	SRR8992361	sample_name
SRR8992361	SRR8992361	srr
SRR8992362	SRR8992362	sample_name
SRR8992362	SRR8992362	srr
SRR8992363	SRR8992363	sample_name
SRR8992363	SRR8992363	srr
SRR8992364	SRR8992364	sample_name
SRR8992364	SRR8992364	srr
SRR8992365	SRR8992365	sample_name
SRR8992365	SRR8992365	srr
SRR8992366	SRR8992366	sample_name
SRR8992366	SRR8992366	srr
SRR8992367	SRR8992367	sample_name
SRR8992367	SRR8992367	srr
SRR9007616	SRR9007616	sample_name
SRR9007616	SRR9007616	srr
SRR9007617	SRR9007617	srr
SRR9007618	SRR9007618	srr
SRR9007619	SRR9007619	srr
SRR9007620	SRR9007620	srr
SRR9007621	SRR9007621	sample_name
SRR9007621	SRR9007621	srr
SRR9007622	SRR9007622	srr
SRR9007623	SRR9007623	srr
SRR9007624	SRR9007624	sample_name
SRR9007624	SRR9007624	srr
SRR9007625	SRR9007625	srr
SRR9007626	SRR9007626	srr
SRR9007627	SRR9007627	srr
SRR9007628	SRR9007628	srr
SRR9032553	SRR9032553	sample_name
SRR9032553	SRR9032553	srr
SRR9032554	SRR9032554	sample_name
SRR9032554	SRR9032554	srr
SRR9032555	SRR9032555	sample_name
SRR9032555	SRR9032555	srr
SRR9032556	SRR9032556	sample_name
SRR9032556	SRR9032556	srr
SRR9032557	SRR9032557	sample_name
SRR9032557	SRR9032557	srr
SRR9032558	SRR9032558	sample_name
SRR9032558	SRR9032558	srr
SRR9032561	SRR9032561	sample_name
SRR9032561	SRR9032561	srr
SRR9032562	SRR9032562	sample_name
SRR9032562	SRR9032562	srr
SRR9051602	SRR9051602	sample_name
SRR9051602	SRR9051602	srr
SRR9051603	SRR9051603	sample_name
SRR9051603	SRR9051603	srr
SRR9051604	SRR9051604	sample_name
SRR9051604	SRR9051604	srr
SRR9051605	SRR9051605	sample_name
SRR9051605	SRR9051605	srr
SRR9051606	SRR9051606	sample_name
SRR9051606	SRR9051606	srr
SRR9051607	SRR9051607	sample_name
SRR9051607	SRR9051607	srr
SRR9051608	SRR9051608	sample_name
SRR9051608	SRR9051608	srr
SRR9051609	SRR9051609	sample_name
SRR9051609	SRR9051609	srr
SRR9051610	SRR9051610	sample_name
SRR9051610	SRR9051610	srr
SRR9051611	SRR9051611	sample_name
SRR9051611	SRR9051611	srr
SRR915731	SRR915731	sample_name
SRR915731	SRR915731	srr
SRR915732	SRR915732	sample_name
SRR915732	SRR915732	srr
SRR915733	SRR915733	sample_name
SRR915733	SRR915733	srr
SRR915734	SRR915734	sample_name
SRR915734	SRR915734	srr
SRR929970	SRR929970	srr
SRR929971	SRR929971	srr
SRR929972	SRR929972	srr
SRR929973	SRR929973	srr
SRR929974	SRR929974	srr
SRR929975	SRR929975	srr
SRR929976	SRR929976	srr
SRR929977	SRR929977	srr
SRR929978	SRR929978	sample_name
SRR929978	SRR929978	srr
SRR929979	SRR929979	sample_name
SRR929979	SRR929979	srr
SRR929980	SRR929980	sample_name
SRR929980	SRR929980	srr
SRR929981	SRR929981	srr
SRR929982	SRR929982	srr
SRR929983	SRR929983	sample_name
SRR929983	SRR929983	srr
SRR929984	SRR929984	sample_name
SRR929984	SRR929984	srr
SRR929985	SRR929985	sample_name
SRR929985	SRR929985	srr
SRR9304728	SRR9304728	sample_name
SRR9304728	SRR9304728	srr
SRR9304729	SRR9304729	sample_name
SRR9304729	SRR9304729	srr
SRR9304730	SRR9304730	sample_name
SRR9304730	SRR9304730	srr
SRR9304731	SRR9304731	sample_name
SRR9304731	SRR9304731	srr
SRR9304732	SRR9304732	sample_name
SRR9304732	SRR9304732	srr
SRR9304733	SRR9304733	sample_name
SRR9304733	SRR9304733	srr
SRR9304734	SRR9304734	sample_name
SRR9304734	SRR9304734	srr
SRR9304735	SRR9304735	sample_name
SRR9304735	SRR9304735	srr
SRR9304736	SRR9304736	sample_name
SRR9304736	SRR9304736	srr
SRR9304737	SRR9304737	sample_name
SRR9304737	SRR9304737	srr
SRR930649	SRR930649	srr
SRR930650	SRR930650	srr
SRR930651	SRR930651	srr
SRR930652	SRR930652	srr
SRR930653	SRR930653	srr
SRR930654	SRR930654	srr
SRR930655	SRR930655	srr
SRR930656	SRR930656	srr
SRR930657	SRR930657	srr
SRR930658	SRR930658	srr
SRR930659	SRR930659	srr
SRR930660	SRR930660	srr
SRR930661	SRR930661	srr
SRR930662	SRR930662	srr
SRR930663	SRR930663	srr
SRR930664	SRR930664	srr
SRR930665	SRR930665	srr
SRR930666	SRR930666	srr
SRR930667	SRR930667	srr
SRR930668	SRR930668	srr
SRR930669	SRR930669	sample_name
SRR930669	SRR930669	srr
SRR930670	SRR930670	sample_name
SRR930670	SRR930670	srr
SRR930671	SRR930671	sample_name
SRR930671	SRR930671	srr
SRR930672	SRR930672	sample_name
SRR930672	SRR930672	srr
SRR930673	SRR930673	sample_name
SRR930673	SRR930673	srr
SRR930674	SRR930674	sample_name
SRR930674	SRR930674	srr
SRR930675	SRR930675	sample_name
SRR930675	SRR930675	srr
SRR930676	SRR930676	sample_name
SRR930676	SRR930676	srr
SRR930677	SRR930677	srr
SRR930678	SRR930678	srr
SRR930679	SRR930679	sample_name
SRR930679	SRR930679	srr
SRR930680	SRR930680	sample_name
SRR930680	SRR930680	srr
SRR930681	SRR930681	sample_name
SRR930681	SRR930681	srr
SRR930682	SRR930682	srr
SRR930683	SRR930683	srr
SRR930684	SRR930684	sample_name
SRR930684	SRR930684	srr
SRR930685	SRR930685	sample_name
SRR930685	SRR930685	srr
SRR930686	SRR930686	sample_name
SRR930686	SRR930686	srr
SRR930687	SRR930687	sample_name
SRR930687	SRR930687	srr
SRR930688	SRR930688	sample_name
SRR930688	SRR930688	srr
SRR930689	SRR930689	sample_name
SRR930689	SRR930689	srr
SRR930690	SRR930690	sample_name
SRR930690	SRR930690	srr
SRR930691	SRR930691	srr
SRR930692	SRR930692	srr
SRR930693	SRR930693	srr
SRR930694	SRR930694	srr
SRR930695	SRR930695	srr
SRR930696	SRR930696	srr
SRR930697	SRR930697	srr
SRR930698	SRR930698	srr
SRR930699	SRR930699	srr
SRR930700	SRR930700	srr
SRR930701	SRR930701	srr
SRR930702	SRR930702	srr
SRR930703	SRR930703	srr
SRR930704	SRR930704	srr
SRR930705	SRR930705	srr
SRR930706	SRR930706	srr
SRR930707	SRR930707	srr
SRR930708	SRR930708	srr
SRR930709	SRR930709	srr
SRR930710	SRR930710	srr
SRR930711	SRR930711	srr
SRR930712	SRR930712	srr
SRR930713	SRR930713	srr
SRR930714	SRR930714	srr
SRR930715	SRR930715	srr
SRR930716	SRR930716	srr
SRR930717	SRR930717	sample_name
SRR930717	SRR930717	srr
SRR930718	SRR930718	sample_name
SRR930718	SRR930718	srr
SRR930719	SRR930719	sample_name
SRR930719	SRR930719	srr
SRR930720	SRR930720	sample_name
SRR930720	SRR930720	srr
SRR9336633	SRR9336633	sample_name
SRR9336633	SRR9336633	srr
SRR9336634	SRR9336634	sample_name
SRR9336634	SRR9336634	srr
SRR9336635	SRR9336635	sample_name
SRR9336635	SRR9336635	srr
SRR9336636	SRR9336636	sample_name
SRR9336636	SRR9336636	srr
SRR9336637	SRR9336637	sample_name
SRR9336637	SRR9336637	srr
SRR9336638	SRR9336638	sample_name
SRR9336638	SRR9336638	srr
SRR9336639	SRR9336639	sample_name
SRR9336639	SRR9336639	srr
SRR9336640	SRR9336640	sample_name
SRR9336640	SRR9336640	srr
SRR9336641	SRR9336641	sample_name
SRR9336641	SRR9336641	srr
SRR9336642	SRR9336642	sample_name
SRR9336642	SRR9336642	srr
SRR9336643	SRR9336643	sample_name
SRR9336643	SRR9336643	srr
SRR9336644	SRR9336644	sample_name
SRR9336644	SRR9336644	srr
SRR9336645	SRR9336645	sample_name
SRR9336645	SRR9336645	srr
SRR9336646	SRR9336646	sample_name
SRR9336646	SRR9336646	srr
SRR9336647	SRR9336647	sample_name
SRR9336647	SRR9336647	srr
SRR9336648	SRR9336648	sample_name
SRR9336648	SRR9336648	srr
SRR9336649	SRR9336649	sample_name
SRR9336649	SRR9336649	srr
SRR9336650	SRR9336650	sample_name
SRR9336650	SRR9336650	srr
SRR9336651	SRR9336651	sample_name
SRR9336651	SRR9336651	srr
SRR9336652	SRR9336652	sample_name
SRR9336652	SRR9336652	srr
SRR9336653	SRR9336653	sample_name
SRR9336653	SRR9336653	srr
SRR9336654	SRR9336654	sample_name
SRR9336654	SRR9336654	srr
SRR9336655	SRR9336655	sample_name
SRR9336655	SRR9336655	srr
SRR9336656	SRR9336656	sample_name
SRR9336656	SRR9336656	srr
SRR935093	SRR935093	srr
SRR935094	SRR935094	srr
SRR935095	SRR935095	srr
SRR935096	SRR935096	srr
SRR935097	SRR935097	srr
SRR935098	SRR935098	srr
SRR935099	SRR935099	srr
SRR935100	SRR935100	srr
SRR935101	SRR935101	srr
SRR935102	SRR935102	srr
SRR935103	SRR935103	srr
SRR935104	SRR935104	srr
SRR935105	SRR935105	srr
SRR935106	SRR935106	srr
SRR935107	SRR935107	srr
SRR935108	SRR935108	srr
SRR935109	SRR935109	srr
SRR935110	SRR935110	srr
SRR935111	SRR935111	srr
SRR935112	SRR935112	srr
SRR935113	SRR935113	srr
SRR935114	SRR935114	srr
SRR935115	SRR935115	srr
SRR935116	SRR935116	srr
SRR935117	SRR935117	sample_name
SRR935117	SRR935117	srr
SRR935118	SRR935118	sample_name
SRR935118	SRR935118	srr
SRR935119	SRR935119	sample_name
SRR935119	SRR935119	srr
SRR935120	SRR935120	sample_name
SRR935120	SRR935120	srr
SRR935121	SRR935121	srr
SRR935122	SRR935122	srr
SRR935123	SRR935123	sample_name
SRR935123	SRR935123	srr
SRR935124	SRR935124	sample_name
SRR935124	SRR935124	srr
SRR942404	SRR942404	srr
SRR942405	SRR942405	srr
SRR942406	SRR942406	srr
SRR942407	SRR942407	srr
SRR942408	SRR942408	srr
SRR942409	SRR942409	srr
SRR942410	SRR942410	srr
SRR942411	SRR942411	srr
SRR942412	SRR942412	srr
SRR942413	SRR942413	srr
SRR942414	SRR942414	srr
SRR942415	SRR942415	srr
SRR942416	SRR942416	srr
SRR942417	SRR942417	srr
SRR942418	SRR942418	srr
SRR942419	SRR942419	srr
SRR942420	SRR942420	srr
SRR942421	SRR942421	srr
SRR942422	SRR942422	srr
SRR942423	SRR942423	srr
SRR942424	SRR942424	srr
SRR942425	SRR942425	srr
SRR942426	SRR942426	srr
SRR942427	SRR942427	srr
SRR942428	SRR942428	srr
SRR942429	SRR942429	srr
SRR942430	SRR942430	srr
SRR942431	SRR942431	srr
SRR942432	SRR942432	srr
SRR942433	SRR942433	srr
SRR942434	SRR942434	srr
SRR942435	SRR942435	srr
SRR942436	SRR942436	srr
SRR942437	SRR942437	srr
SRR942438	SRR942438	srr
SRR942439	SRR942439	srr
SRR942440	SRR942440	srr
SRR942441	SRR942441	srr
SRR942442	SRR942442	srr
SRR942443	SRR942443	srr
SRR942444	SRR942444	srr
SRR942445	SRR942445	srr
SRR942446	SRR942446	srr
SRR942447	SRR942447	srr
SRR942448	SRR942448	srr
SRR942449	SRR942449	srr
SRR942450	SRR942450	srr
SRR942451	SRR942451	srr
SRR953377	SRR953377	sample_name
SRR953377	SRR953377	srr
SRR953378	SRR953378	sample_name
SRR953378	SRR953378	srr
SRR953379	SRR953379	sample_name
SRR953379	SRR953379	srr
SRR953380	SRR953380	sample_name
SRR953380	SRR953380	srr
SRR953381	SRR953381	sample_name
SRR953381	SRR953381	srr
SRR953382	SRR953382	sample_name
SRR953382	SRR953382	srr
SRR953383	SRR953383	sample_name
SRR953383	SRR953383	srr
SRR953384	SRR953384	sample_name
SRR953384	SRR953384	srr
SRR9602768	SRR9602768	sample_name
SRR9602768	SRR9602768	srr
SRR9602769	SRR9602769	sample_name
SRR9602769	SRR9602769	srr
SRR9602770	SRR9602770	sample_name
SRR9602770	SRR9602770	srr
SRR9602771	SRR9602771	sample_name
SRR9602771	SRR9602771	srr
SRR9602772	SRR9602772	sample_name
SRR9602772	SRR9602772	srr
SRR9602773	SRR9602773	sample_name
SRR9602773	SRR9602773	srr
SRR9602774	SRR9602774	sample_name
SRR9602774	SRR9602774	srr
SRR9602775	SRR9602775	sample_name
SRR9602775	SRR9602775	srr
SRR9602776	SRR9602776	sample_name
SRR9602776	SRR9602776	srr
SRR9825093	SRR9825093	sample_name
SRR9825093	SRR9825093	srr
SRR9825094	SRR9825094	sample_name
SRR9825094	SRR9825094	srr
SRR9825095	SRR9825095	sample_name
SRR9825095	SRR9825095	srr
SRR9825096	SRR9825096	sample_name
SRR9825096	SRR9825096	srr
SRR9825097	SRR9825097	sample_name
SRR9825097	SRR9825097	srr
SRR9825098	SRR9825098	sample_name
SRR9825098	SRR9825098	srr
SRR9825099	SRR9825099	sample_name
SRR9825099	SRR9825099	srr
SRR9825100	SRR9825100	sample_name
SRR9825100	SRR9825100	srr
SRR9825101	SRR9825101	sample_name
SRR9825101	SRR9825101	srr
SRR9825102	SRR9825102	sample_name
SRR9825102	SRR9825102	srr
SRR9833428	SRR9833428	srr
SRR9833429	SRR9833429	srr
SRR9833430	SRR9833430	sample_name
SRR9833430	SRR9833430	srr
SRR9833431	SRR9833431	srr
SRR9833432	SRR9833432	srr
SRR9833433	SRR9833433	sample_name
SRR9833433	SRR9833433	srr
SRR9833434	SRR9833434	srr
SRR9833435	SRR9833435	srr
SRR988329	SRR988329	sample_name
SRR988329	SRR988329	srr
SRR988330	SRR988330	sample_name
SRR988330	SRR988330	srr
SRR988331	SRR988331	sample_name
SRR988331	SRR988331	srr
SRR988332	SRR988332	sample_name
SRR988332	SRR988332	srr
SRR988333	SRR988333	sample_name
SRR988333	SRR988333	srr
SRR988334	SRR988334	sample_name
SRR988334	SRR988334	srr
SRR988335	SRR988335	sample_name
SRR988335	SRR988335	srr
SRR988336	SRR988336	sample_name
SRR988336	SRR988336	srr
SRR988337	SRR988337	sample_name
SRR988337	SRR988337	srr
SRR988338	SRR988338	sample_name
SRR988338	SRR988338	srr
SRR988339	SRR988339	sample_name
SRR988339	SRR988339	srr
SRR988340	SRR988340	sample_name
SRR988340	SRR988340	srr
SRR988341	SRR988341	sample_name
SRR988341	SRR988341	srr
SRR988342	SRR988342	sample_name
SRR988342	SRR988342	srr
SRR988343	SRR988343	sample_name
SRR988343	SRR988343	srr
SRR988344	SRR988344	sample_name
SRR988344	SRR988344	srr
SRR988345	SRR988345	sample_name
SRR988345	SRR988345	srr
SRR988346	SRR988346	sample_name
SRR988346	SRR988346	srr
SRR9961457	SRR9961457	sample_name
SRR9961457	SRR9961457	srr
SRR9961458	SRR9961458	sample_name
SRR9961458	SRR9961458	srr
SRR9961459	SRR9961459	sample_name
SRR9961459	SRR9961459	srr
SRR9961460	SRR9961460	sample_name
SRR9961460	SRR9961460	srr
SRR9961461	SRR9961461	sample_name
SRR9961461	SRR9961461	srr
SRR9961462	SRR9961462	sample_name
SRR9961462	SRR9961462	srr
SRZ014283	SRZ014283	sample_name
SRZ014286	SRZ014286	sample_name
SRZ064988	SRZ064988	sample_name
SRZ064990	SRZ064990	sample_name
SRZ064992	SRZ064992	sample_name
SRZ064995	SRZ064995	sample_name
SRZ073008	SRZ073008	sample_name
SRZ073011	SRZ073011	sample_name
SRZ073015	SRZ073015	sample_name
SRZ073017	SRZ073017	sample_name
SRZ073021	SRZ073021	sample_name
SRZ097854	SRZ097854	sample_name
SRZ097858	SRZ097858	sample_name
SRZ10004434	SRZ10004434	sample_name
SRZ10004438	SRZ10004438	sample_name
SRZ10004442	SRZ10004442	sample_name
SRZ10354600	SRZ10354600	sample_name
SRZ10354602	SRZ10354602	sample_name
SRZ10354604	SRZ10354604	sample_name
SRZ10354606	SRZ10354606	sample_name
SRZ10354608	SRZ10354608	sample_name
SRZ10354610	SRZ10354610	sample_name
SRZ10354612	SRZ10354612	sample_name
SRZ10354614	SRZ10354614	sample_name
SRZ10354616	SRZ10354616	sample_name
SRZ10354618	SRZ10354618	sample_name
SRZ10354620	SRZ10354620	sample_name
SRZ10354622	SRZ10354622	sample_name
SRZ10354637	SRZ10354637	sample_name
SRZ10354639	SRZ10354639	sample_name
SRZ10354641	SRZ10354641	sample_name
SRZ10354643	SRZ10354643	sample_name
SRZ10354645	SRZ10354645	sample_name
SRZ10354647	SRZ10354647	sample_name
SRZ10354649	SRZ10354649	sample_name
SRZ10354651	SRZ10354651	sample_name
SRZ10466082	SRZ10466082	sample_name
SRZ10466084	SRZ10466084	sample_name
SRZ11607565	SRZ11607565	sample_name
SRZ11607568	SRZ11607568	sample_name
SRZ11607571	SRZ11607571	sample_name
SRZ11607574	SRZ11607574	sample_name
SRZ11607577	SRZ11607577	sample_name
SRZ12179472	SRZ12179472	sample_name
SRZ12179474	SRZ12179474	sample_name
SRZ1482436	SRZ1482436	sample_name
SRZ1482441	SRZ1482441	sample_name
SRZ1554311	SRZ1554311	sample_name
SRZ1575914	SRZ1575914	sample_name
SRZ1575919	SRZ1575919	sample_name
SRZ1575923	SRZ1575923	sample_name
SRZ1575929	SRZ1575929	sample_name
SRZ1575932	SRZ1575932	sample_name
SRZ1648896	SRZ1648896	sample_name
SRZ1648898	SRZ1648898	sample_name
SRZ1693609	SRZ1693609	sample_name
SRZ1693611	SRZ1693611	sample_name
SRZ1744498	SRZ1744498	sample_name
SRZ1744500	SRZ1744500	sample_name
SRZ1744502	SRZ1744502	sample_name
SRZ1744504	SRZ1744504	sample_name
SRZ1744506	SRZ1744506	sample_name
SRZ1744508	SRZ1744508	sample_name
SRZ1744510	SRZ1744510	sample_name
SRZ1744512	SRZ1744512	sample_name
SRZ1744514	SRZ1744514	sample_name
SRZ1744516	SRZ1744516	sample_name
SRZ1745515	SRZ1745515	sample_name
SRZ1745517	SRZ1745517	sample_name
SRZ1745519	SRZ1745519	sample_name
SRZ1745521	SRZ1745521	sample_name
SRZ1745523	SRZ1745523	sample_name
SRZ1745525	SRZ1745525	sample_name
SRZ1745527	SRZ1745527	sample_name
SRZ1745529	SRZ1745529	sample_name
SRZ1810067	SRZ1810067	sample_name
SRZ1810071	SRZ1810071	sample_name
SRZ1928221	SRZ1928221	sample_name
SRZ1950491	SRZ1950491	sample_name
SRZ1950493	SRZ1950493	sample_name
SRZ1950495	SRZ1950495	sample_name
SRZ1950497	SRZ1950497	sample_name
SRZ1950499	SRZ1950499	sample_name
SRZ1950501	SRZ1950501	sample_name
SRZ1950503	SRZ1950503	sample_name
SRZ1950505	SRZ1950505	sample_name
SRZ1950507	SRZ1950507	sample_name
SRZ1950509	SRZ1950509	sample_name
SRZ1950511	SRZ1950511	sample_name
SRZ1950513	SRZ1950513	sample_name
SRZ1951428	SRZ1951428	sample_name
SRZ1951430	SRZ1951430	sample_name
SRZ1951433	SRZ1951433	sample_name
SRZ2084576	SRZ2084576	sample_name
SRZ2084580	SRZ2084580	sample_name
SRZ2084584	SRZ2084584	sample_name
SRZ2084588	SRZ2084588	sample_name
SRZ2820481	SRZ2820481	sample_name
SRZ2820483	SRZ2820483	sample_name
SRZ2820485	SRZ2820485	sample_name
SRZ2820487	SRZ2820487	sample_name
SRZ2820489	SRZ2820489	sample_name
SRZ2820491	SRZ2820491	sample_name
SRZ2960994	SRZ2960994	sample_name
SRZ2960996	SRZ2960996	sample_name
SRZ2960998	SRZ2960998	sample_name
SRZ2961000	SRZ2961000	sample_name
SRZ2961002	SRZ2961002	sample_name
SRZ2961004	SRZ2961004	sample_name
SRZ2961006	SRZ2961006	sample_name
SRZ2961008	SRZ2961008	sample_name
SRZ2961012	SRZ2961012	sample_name
SRZ3031836	SRZ3031836	sample_name
SRZ3031838	SRZ3031838	sample_name
SRZ3031840	SRZ3031840	sample_name
SRZ3031842	SRZ3031842	sample_name
SRZ3031844	SRZ3031844	sample_name
SRZ3031846	SRZ3031846	sample_name
SRZ3223688	SRZ3223688	sample_name
SRZ3223690	SRZ3223690	sample_name
SRZ3223692	SRZ3223692	sample_name
SRZ3223694	SRZ3223694	sample_name
SRZ3223696	SRZ3223696	sample_name
SRZ3223698	SRZ3223698	sample_name
SRZ3477284	SRZ3477284	sample_name
SRZ3477286	SRZ3477286	sample_name
SRZ3477288	SRZ3477288	sample_name
SRZ3477290	SRZ3477290	sample_name
SRZ3477292	SRZ3477292	sample_name
SRZ3477294	SRZ3477294	sample_name
SRZ3477296	SRZ3477296	sample_name
SRZ3477298	SRZ3477298	sample_name
SRZ3477300	SRZ3477300	sample_name
SRZ354085	SRZ354085	sample_name
SRZ354088	SRZ354088	sample_name
SRZ354090	SRZ354090	sample_name
SRZ354095	SRZ354095	sample_name
SRZ354098	SRZ354098	sample_name
SRZ354100	SRZ354100	sample_name
SRZ3734610	SRZ3734610	sample_name
SRZ3734612	SRZ3734612	sample_name
SRZ3734614	SRZ3734614	sample_name
SRZ3734617	SRZ3734617	sample_name
SRZ4012390	SRZ4012390	sample_name
