search_term	db_term	search_field
Hdac3 fl/fl; adiponectin-Cre	Hdac3 fl/fl; adiponectin-Cre	genotype
Hdgf -/-	Hdgf -/-	genotype
Hdgf -/-; Hdgf exogenous (stable)	Hdgf -/-; Hdgf exogenous (stable)	genotype
He	He	last_author
HeLa	HeLa	cell_type
HeLa S3	HeLa S3	cell_type
Heinaniemi	Heinaniemi	first_author
Heinaniemi	Heinaniemi	last_author
Heinaniemi2016transcription	Heinaniemi2016transcription	paper_name
Heinz	Heinz	first_author
Heinz2013effect	Heinz2013effect	paper_name
Hep-G2	HepG2	cell_type
HepG-2	HepG2	cell_type
HepG2	HepG2	cell_type
Hernandez	Hernandez	last_author
Herold	Herold	first_author
Herold2019recruitment	Herold2019recruitment	paper_name
Hetzel	Hetzel	first_author
Hetzel2016nascent	Hetzel2016nascent	paper_name
Hhex-Venus reporter	Hhex-Venus reporter	construct
Hiebert	Hiebert	last_author
Hif1-alpha	Hif1-alpha	construct
Hif2-alpha	Hif2-alpha	construct
Hollick	Hollick	last_author
Hong	Hong	first_author
Hong2017dissociation	Hong2017dissociation	paper_name
Horibata	Horibata	first_author
Horibata2018erpositive	Horibata2018erpositive	paper_name
Hou	Hou	first_author
Hou2019paf1c	Hou2019paf1c	paper_name
Hsf1 -/-	Hsf1 -/-	genotype
Hsf1 -/-; Hsf2 -/-	Hsf1 -/-; Hsf2 -/-	genotype
Hsp70 promoter 10bp insert	Hsp70 promoter 10bp insert	genotype
Hsp70 promoter 5bp insert	Hsp70 promoter 5bp insert	genotype
Hu	Hu	first_author
Hu	Hu	last_author
Hu2012dicer	Hu2012dicer	paper_name
Huang	Huang	first_author
Huang2020integrator	Huang2020integrator	paper_name
Hurtado	Hurtado	last_author
I-TG transgene knock-in +/-	I-TG transgene knock-in +/-	genotype
I-element fragment knock-in	I-element fragment knock-in	genotype
IAA	indoleacetic acid	treatment
IBET 151	IBET151	treatment
IBET-151	IBET151	treatment
IBET151	IBET151	treatment
ICI 182,780	ICI 182,780	treatment
ICI 182780	ICI 182,780	treatment
ICI182,780	ICI 182,780	treatment
ICI182780	ICI 182,780	treatment
IFN-gamma	IFN-gamma	treatment
IFNg	IFN-gamma	treatment
IFNgamma	IFN-gamma	treatment
IL-1b	interleukin-1b	treatment
IL-4	interleukin-4	treatment
IL1b	interleukin-1b	treatment
IL4	interleukin-4	treatment
IMR-90	IMR90	cell_type
IMR90	IMR90	cell_type
INCB 059872	INCB059872	treatment
INCB-059872	INCB059872	treatment
INCB059872	INCB059872	treatment
Idn2 mut	Idn2 mut	genotype
Idn2 mut; Idnl1 mut; Idnl2 mut	Idn2 mut; Idnl1 mut; Idnl2 mut	genotype
Ikegami	Ikegami	first_author
Ikegami2020phosphorylated	Ikegami2020phosphorylated	paper_name
Illingworth	Illingworth	first_author
Illingworth2016polycomb	Illingworth2016polycomb	paper_name
Incarnato	Incarnato	first_author
Incarnato2017vivo	Incarnato2017vivo	paper_name
Ints11 E203Q exogenous	Ints11 E203Q exogenous	construct
Ints11 exogenous	Ints11 exogenous	construct
Iwase	Iwase	last_author
JQ-1	JQ1	treatment
JQ1	JQ1	treatment
JS78	JS78	strain
Jacobsen	Jacobsen	last_author
Jaeger	Jaeger	first_author
Jaeger2020selective	Jaeger2020selective	paper_name
Jager	Jager	first_author
Jager2016nuclear	Jager2016nuclear	paper_name
Jensen	Jensen	last_author
Ji	Ji	first_author
Ji2011transcriptional	Ji2011transcriptional	paper_name
Ji2013sr	Ji2013sr	paper_name
Jiang	Jiang	first_author
